-0.000003	2
1.219319	1
1.379215	2
1.499147	1
1.539115	2
1.699041	1
1.739009	2
2.038846	1
2.098798	2
2.218730	1
2.278705	2
2.918326	1
3.038256	2
3.158188	1
3.218169	2
3.358081	1
3.418063	2
3.697890	1
3.777854	2
4.017715	1
4.097648	2
4.637349	1
4.837243	2
5.137057	1
5.197032	2
5.996548	1
6.056534	2
6.416324	1
6.636199	2
6.976012	1
7.055944	2
7.215869	1
7.275819	2
7.435744	1
7.475712	2
7.755569	1
7.815521	2
8.095348	1
8.215309	2
8.375208	1
8.455140	2
8.715011	1
9.054824	2
9.314663	1
9.374618	2
9.614477	1
9.714421	2
10.414024	1
10.453992	2
11.213568	1
11.293533	2
11.453432	1
11.493398	2
11.673305	1
11.713270	2
12.033096	1
12.093053	2
12.592784	1
12.632749	2
13.172425	1
13.332351	2
13.592194	1
13.672157	2
13.991951	1
14.451692	2
14.691554	1
14.771516	2
15.770957	1
15.830902	2
16.130747	1
16.190696	2
16.610468	1
16.690405	2
17.270067	1
17.310067	2
18.309477	1
18.389440	2
18.669266	1
18.709265	2
19.328902	1
19.388850	2
19.668707	1
19.808626	2
20.008519	1
20.048485	2
20.168414	1
20.228390	2
20.348321	1
20.488241	2
20.668116	1
20.708115	2
20.927994	1
21.327751	2
21.527646	1
21.567613	2
21.687545	1
21.707525	2
21.987351	1
22.027346	2
22.267208	1
22.287197	2
22.447092	1
22.527055	2
22.726950	1
22.766917	2
23.106724	1
23.146687	2
23.326604	1
23.386549	2
23.506480	1
23.566463	2
23.866269	1
23.886289	2
25.045594	1
25.085592	2
25.305467	1
25.345431	2
25.705224	1
25.725213	2
